contract,trading_day,pair_id,or_start,or_end,bbo_first_time,bbo_last_time,coverage_status,or_high,or_low,or_width,post_or_high,post_or_low,max_upside_break_pts,max_downside_break_pts,first_up_break_time,first_down_break_time,break_side,break_magnitude_pts,break_magnitude_vs_or_width,break_magnitude_vs_prior_realized_vol,vwap_side_at_break,reverted_to_or,time_above_or_high,time_below_or_low,event_selected_by_v0,persistent_after_break,realized_vol_ratio
TXFD6,2026-01-28,TXFD6->TMFD6,2026-01-28T00:45:00+00:00,2026-01-28T01:15:00+00:00,2026-01-28T00:45:00.063354+00:00,2026-01-28T18:40:41.023167+00:00,ok,32890.5,32877.5,13.0,32886.5,32886.5,0.0,0.0,,,none,0.0,0.0,0.0,not_evaluated,False,0,0,False,False,0.0
TXFD6,2026-01-29,TXFD6->TMFD6,2026-01-29T00:45:00+00:00,2026-01-29T01:15:00+00:00,2026-01-29T00:44:40.141210+00:00,2026-01-29T16:22:35.849191+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-01-30,TXFD6->TMFD6,2026-01-30T00:45:00+00:00,2026-01-30T01:15:00+00:00,2026-01-30T00:39:50.108538+00:00,2026-01-30T07:09:24.453628+00:00,missing_post,32574.0,32574.0,0.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-02-03,TXFD6->TMFD6,2026-02-03T00:45:00+00:00,2026-02-03T01:15:00+00:00,2026-02-03T07:51:39.601606+00:00,2026-02-03T16:33:32.705672+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-02-04,TXFD6->TMFD6,2026-02-04T00:45:00+00:00,2026-02-04T01:15:00+00:00,2026-02-04T00:37:45.109831+00:00,2026-02-04T17:42:34.206594+00:00,ok,32530.0,32275.0,255.0,32384.5,32384.5,0.0,0.0,,,none,0.0,0.0,0.0,not_evaluated,False,0,0,False,False,0.0
TXFD6,2026-02-05,TXFD6->TMFD6,2026-02-05T00:45:00+00:00,2026-02-05T01:15:00+00:00,2026-02-05T00:39:55.113584+00:00,2026-02-05T00:47:01.756582+00:00,missing_post,32140.0,32140.0,0.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-02-06,TXFD6->TMFD6,2026-02-06T00:45:00+00:00,2026-02-06T01:15:00+00:00,2026-02-06T11:19:06.553423+00:00,2026-02-06T15:37:17.573321+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-02-23,TXFD6->TMFD6,2026-02-23T00:45:00+00:00,2026-02-23T01:15:00+00:00,2026-02-23T00:30:05.157014+00:00,2026-02-23T19:58:05.121516+00:00,missing_post,34308.0,34308.0,0.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-02-24,TXFD6->TMFD6,2026-02-24T00:45:00+00:00,2026-02-24T01:15:00+00:00,2026-02-24T00:30:05.046207+00:00,2026-02-24T20:49:15.693154+00:00,ok,34414.5,34228.5,186.0,34551.5,34442.5,137.0,0.0,2026-02-24T01:17:05.532224+00:00,,up,28.0,0.15053763440860216,1.0553896529567173,above,False,1673,0,False,True,0.0
TXFD6,2026-02-25,TXFD6->TMFD6,2026-02-25T00:45:00+00:00,2026-02-25T01:15:00+00:00,2026-02-25T00:30:05.021000+00:00,2026-02-25T17:35:58.992762+00:00,missing_post,35398.5,35203.0,195.5,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-03-19,TXFD6->TMFD6,2026-03-19T00:45:00+00:00,2026-03-19T01:15:00+00:00,2026-03-19T08:14:49.352522+00:00,2026-03-19T20:59:06.719784+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-03-20,TXFD6->TMFD6,2026-03-20T00:45:00+00:00,2026-03-20T01:15:00+00:00,2026-03-20T00:30:05.011322+00:00,2026-03-20T20:59:01.851907+00:00,ok,33870.5,33656.5,214.0,33805.0,33403.5,0.0,253.0,,2026-03-20T01:15:02.430192+00:00,down,22.0,0.102803738317757,1.5851025355864266,below,True,0,1257,False,True,1.1387030903898476
TXFD6,2026-03-23,TXFD6->TMFD6,2026-03-23T00:45:00+00:00,2026-03-23T01:15:00+00:00,2026-03-23T00:30:05.011319+00:00,2026-03-23T20:58:08.523655+00:00,ok,32667.5,32232.5,435.0,32817.0,32565.0,149.5,0.0,2026-03-23T01:15:02.348189+00:00,,up,7.5,0.017241379310344827,0.385530358604018,above,True,727,0,False,False,0.8139656671050748
TXFD6,2026-03-24,TXFD6->TMFD6,2026-03-24T00:45:00+00:00,2026-03-24T01:15:00+00:00,2026-03-24T00:30:40.010823+00:00,2026-03-24T16:56:54.294336+00:00,ok,33387.5,33014.5,373.0,33065.5,32738.0,0.0,276.5,,2026-03-24T01:15:06.056129+00:00,down,1.0,0.002680965147453083,0.06760565028580708,below,True,0,1360,False,False,1.0879142480405757
TXFD6,2026-03-26,TXFD6->TMFD6,2026-03-26T00:45:00+00:00,2026-03-26T01:15:00+00:00,2026-03-26T06:50:05+00:00,2026-03-26T20:57:52.211794+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-03-27,TXFD6->TMFD6,2026-03-27T00:45:00+00:00,2026-03-27T01:15:00+00:00,2026-03-27T00:30:35+00:00,2026-03-27T20:59:43.738000+00:00,ok,32846.5,32691.5,155.0,33005.5,32745.0,159.0,0.0,2026-03-27T01:15:19.766419+00:00,,up,3.5,0.02258064516129032,0.2859727386186457,above,True,968,0,True,False,1.4794267130920153
TXFD6,2026-03-30,TXFD6->TMFD6,2026-03-30T00:45:00+00:00,2026-03-30T01:15:00+00:00,2026-03-30T00:31:35+00:00,2026-03-30T20:56:03.074186+00:00,ok,32434.5,32053.0,381.5,32488.0,32376.5,53.5,0.0,2026-03-30T01:25:20.395688+00:00,,up,7.0,0.01834862385321101,0.40933222837913774,above,True,834,0,False,False,0.6934712624923624
TXFD6,2026-03-31,TXFD6->TMFD6,2026-03-31T00:45:00+00:00,2026-03-31T01:15:00+00:00,2026-03-31T00:31:30.003077+00:00,2026-03-31T20:56:05.513482+00:00,ok,32321.0,31977.5,343.5,32429.5,32030.0,108.5,0.0,2026-03-31T01:30:49.629964+00:00,,up,4.5,0.013100436681222707,0.24762012408686876,above,True,789,0,False,False,0.8770649324018686
TXFD6,2026-04-01,TXFD6->TMFD6,2026-04-01T00:45:00+00:00,2026-04-01T01:15:00+00:00,2026-04-01T00:30:45+00:00,2026-04-01T20:57:21.426387+00:00,ok,33157.5,32932.5,225.0,33202.5,32973.5,45.0,0.0,2026-04-01T01:29:18.224593+00:00,,up,16.0,0.07111111111111111,1.042584897838355,above,True,476,0,False,False,0.8769113034831446
TXFD6,2026-04-02,TXFD6->TMFD6,2026-04-02T00:45:00+00:00,2026-04-02T01:15:00+00:00,2026-04-02T00:30:35+00:00,2026-04-02T20:59:25.186375+00:00,ok,33637.5,33401.0,236.5,33494.5,32910.5,0.0,490.5,,2026-04-02T01:17:36.380089+00:00,down,51.5,0.21775898520084566,2.5364919082190855,below,False,0,1587,False,True,1.0858293360985989
TXFD6,2026-04-07,TXFD6->TMFD6,2026-04-07T00:45:00+00:00,2026-04-07T01:15:00+00:00,2026-04-07T02:45:19.158455+00:00,2026-04-07T20:56:23.064000+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-04-08,TXFD6->TMFD6,2026-04-08T00:45:00+00:00,2026-04-08T01:15:00+00:00,2026-04-08T00:31:10.008978+00:00,2026-04-08T13:56:03.592341+00:00,ok,34648.5,34502.5,146.0,34788.5,34512.0,140.0,0.0,2026-04-08T01:31:40.532355+00:00,,up,4.5,0.030821917808219176,0.44374450489274103,above,False,790,0,True,True,1.4595228646217904
TXFD6,2026-04-09,TXFD6->TMFD6,2026-04-09T00:45:00+00:00,2026-04-09T01:15:00+00:00,2026-04-09T00:30:55.095669+00:00,2026-04-09T20:49:56.654000+00:00,ok,35049.0,34856.5,192.5,34956.5,34781.5,0.0,75.0,,2026-04-09T01:24:32.236748+00:00,down,15.0,0.07792207792207792,1.2601853616954999,below,True,0,380,False,False,1.2444313948210541
TXFD6,2026-04-10,TXFD6->TMFD6,2026-04-10T00:45:00+00:00,2026-04-10T01:15:00+00:00,2026-04-10T00:30:30.005685+00:00,2026-04-10T20:25:49.791415+00:00,ok,35426.5,35233.5,193.0,35512.5,35373.5,86.0,0.0,2026-04-10T01:16:41.632301+00:00,,up,12.5,0.06476683937823834,0.9131256460045938,above,True,1184,0,False,False,0.8690062764589881
TXFD6,2026-04-13,TXFD6->TMFD6,2026-04-13T00:45:00+00:00,2026-04-13T01:15:00+00:00,2026-04-13T02:02:20.309699+00:00,2026-04-13T20:57:45.046116+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFD6,2026-04-14,TXFD6->TMFD6,2026-04-14T00:45:00+00:00,2026-04-14T01:15:00+00:00,2026-04-14T00:30:05+00:00,2026-04-14T20:59:35.475000+00:00,ok,36204.5,36017.5,187.0,36269.5,36073.5,65.0,0.0,2026-04-14T01:20:35.719157+00:00,,up,16.0,0.0855614973262032,1.1845792128128025,above,True,557,0,False,True,1.2134406165905411
TXFD6,2026-04-15,TXFD6->TMFD6,2026-04-15T00:45:00+00:00,2026-04-15T01:15:00+00:00,2026-04-15T00:45:05.615932+00:00,2026-04-15T05:19:59.490944+00:00,ok,36770.5,36645.5,125.0,36978.5,36813.0,208.0,0.0,2026-04-15T01:15:05.613758+00:00,,up,42.5,0.34,2.325813079272892,above,False,1779,0,False,True,0.6965021168292439
TXFE6,2026-02-25,TXFE6->TMFE6,2026-02-25T00:45:00+00:00,2026-02-25T01:15:00+00:00,2026-02-25T13:41:58.626541+00:00,2026-02-25T15:17:43.151796+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-02-26,TXFE6->TMFE6,2026-02-26T00:45:00+00:00,2026-02-26T01:15:00+00:00,2026-02-26T00:39:20.114317+00:00,2026-02-26T02:08:32.271147+00:00,missing_post,35889.5,35849.5,40.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-03,TXFE6->TMFE6,2026-03-03T00:45:00+00:00,2026-03-03T01:15:00+00:00,2026-03-03T00:41:35.110115+00:00,2026-03-03T19:56:47.924282+00:00,missing_post,35398.5,34750.0,648.5,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-04,TXFE6->TMFE6,2026-03-04T00:45:00+00:00,2026-03-04T01:15:00+00:00,2026-03-04T00:32:30.099061+00:00,2026-03-04T10:26:07.633242+00:00,missing_post,33998.5,33998.5,0.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-05,TXFE6->TMFE6,2026-03-05T00:45:00+00:00,2026-03-05T01:15:00+00:00,2026-03-05T00:32:35.098838+00:00,2026-03-05T12:55:14.046751+00:00,missing_post,34196.0,34196.0,0.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-06,TXFE6->TMFE6,2026-03-06T00:45:00+00:00,2026-03-06T01:15:00+00:00,2026-03-06T00:31:05.109335+00:00,2026-03-06T15:46:20.730000+00:00,ok,35319.5,35319.5,0.0,35344.5,35344.5,25.0,0.0,2026-03-06T01:17:47.908349+00:00,,up,25.0,,,above,False,1632,0,False,True,
TXFE6,2026-03-09,TXFE6->TMFE6,2026-03-09T00:45:00+00:00,2026-03-09T01:15:00+00:00,2026-03-09T00:32:45.121000+00:00,2026-03-09T20:28:56.986362+00:00,missing_post,31900.0,31484.5,415.5,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-10,TXFE6->TMFE6,2026-03-10T00:45:00+00:00,2026-03-10T01:15:00+00:00,2026-03-10T00:38:10.091074+00:00,2026-03-10T10:19:40.464088+00:00,missing_post,34320.5,34320.5,0.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-11,TXFE6->TMFE6,2026-03-11T00:45:00+00:00,2026-03-11T01:15:00+00:00,2026-03-11T00:45:00.036777+00:00,2026-03-11T13:44:33.310516+00:00,missing_post,33569.5,33495.5,74.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-12,TXFE6->TMFE6,2026-03-12T00:45:00+00:00,2026-03-12T01:15:00+00:00,2026-03-12T00:30:35.108832+00:00,2026-03-12T20:34:15.909430+00:00,missing_opening,,,,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-13,TXFE6->TMFE6,2026-03-13T00:45:00+00:00,2026-03-13T01:15:00+00:00,2026-03-13T00:30:35.118577+00:00,2026-03-13T03:15:42.114937+00:00,missing_post,34000.0,33981.0,19.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-16,TXFE6->TMFE6,2026-03-16T00:45:00+00:00,2026-03-16T01:15:00+00:00,2026-03-16T00:30:10.101000+00:00,2026-03-16T03:42:50.911836+00:00,missing_post,33669.0,33669.0,0.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-17,TXFE6->TMFE6,2026-03-17T00:45:00+00:00,2026-03-17T01:15:00+00:00,2026-03-17T00:30:05.097552+00:00,2026-03-17T01:00:09.722322+00:00,missing_post,32639.5,32633.5,6.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-18,TXFE6->TMFE6,2026-03-18T00:45:00+00:00,2026-03-18T01:15:00+00:00,2026-03-18T00:30:05.156932+00:00,2026-03-18T20:59:46.751788+00:00,missing_post,34479.5,34479.5,0.0,,,,,,,none,0.0,,,not_evaluated,False,0,0,False,False,
TXFE6,2026-03-19,TXFE6->TMFE6,2026-03-19T00:45:00+00:00,2026-03-19T01:15:00+00:00,2026-03-19T00:30:05.057154+00:00,2026-03-19T20:32:48.850880+00:00,ok,34139.0,34026.5,112.5,33989.0,33933.5,0.0,93.0,,2026-03-19T01:15:00.677300+00:00,down,37.5,0.3333333333333333,0.7969169014980416,below,False,0,1799,False,True,0.0
