date,total_call_oi,total_put_oi,total_call_vol,total_put_vol,pc_oi_ratio,pc_vol_ratio,max_pain_strike,dealer_call_net,dealer_put_net,oi_hhi,top3_oi_share,d_pc_oi_ratio,d_pc_vol_ratio,d_total_call_oi,d_total_put_oi,d_dealer_call_net,d_dealer_put_net,d_oi_hhi
2026-01-30,197072,213724,712804,637421,1.0844970366160591,0.8942444206261468,32300,-18049,-19551,0.013328962961638807,0.09056563355047274,-0.2612072133007921,0.02851343600610512,73799.0,47835.0,-2688.0,1161.0,0.001067341393304725
2026-02-02,153565,167699,424899,345861,1.092039201640999,0.81398402914575,32000,-17198,-18804,0.01175537705719636,0.0857892574331391,0.007542165024939873,-0.08026039148039688,-43507.0,-46025.0,851.0,747.0,-0.001573585904442447
2026-02-03,154303,202988,376919,439431,1.3155155764955964,1.1658499571525978,33000,-11355,-15006,0.01228151985877864,0.09383107886848535,0.22347637485459737,0.3518659280068478,738.0,35289.0,5843.0,3798.0,0.00052614280158228
2026-02-04,176686,259275,631730,658353,1.4674337525327417,1.0421430041315118,32000,-24018,-35359,0.013403231670926004,0.09544202348375198,0.1519181760371453,-0.12370695302108592,22383.0,56287.0,-12663.0,-20353.0,0.0011217118121473642
2026-02-05,138944,179122,374439,320858,1.2891668585905114,0.8569032606112077,33000,-23070,-29821,0.012725854615055335,0.09948878534643753,-0.17826689394223028,-0.18523974352030415,-37742.0,-80153.0,948.0,5538.0,-0.000677377055870669
2026-02-06,199167,229791,742413,707732,1.153760412116465,0.9532861089447517,33000,-26977,-31151,0.01312947946795391,0.09862037775260049,-0.13540644647404632,0.09638284833354405,60223.0,50669.0,-3907.0,-1330.0,0.0004036248528985747
2026-02-09,124256,185765,281310,288065,1.4950183492145248,1.0240126550780277,33000,-16310,-24500,0.012316076527078335,0.09872234461536476,0.34125793709805974,0.070726546133276,-74911.0,-44026.0,10667.0,6651.0,-0.0008134029408755749
2026-02-10,125380,214123,348731,353695,1.7077923113734248,1.01423446725413,33000,-6720,-11574,0.012203899779380266,0.0945529200036524,0.2127739621589,-0.009778187823897833,1124.0,28358.0,9590.0,12926.0,-0.00011217674769806868
2026-02-11,152882,296371,665706,628234,1.9385604583927474,0.9437108873887271,33000,7299,14310,0.012242928464902141,0.08885861641435895,0.23076814701932258,-0.07052357986540281,27502.0,82248.0,14019.0,25884.0,3.9028685521875356e-05
2026-02-23,162001,245680,399900,394595,1.5165338485564903,0.9867341835458865,34000,2987,4564,0.01178407318836597,0.09525339665081277,-0.42202660983625706,0.043023296157159385,9119.0,-50691.0,-4312.0,-9746.0,-0.00045885527653617177
2026-02-24,77307,136375,355472,425185,1.7640705240146428,1.1961138992663276,34000,-4924,-8765,0.012503858299629795,0.08009097631059238,0.2475366754581525,0.20937971572044112,-84694.0,-109305.0,-7911.0,-13329.0,0.0007197851112638251
2026-02-25,116054,212604,679446,684491,1.8319403036517483,1.0074251669742702,35300,-3338,-6217,0.012710584125502397,0.08909261298979486,0.0678697796371055,-0.1886887322920574,38747.0,76229.0,1586.0,2548.0,0.00020672582587260256
2026-02-26,85849,132163,218183,206923,1.539482113944251,0.9483919462102913,32000,215,331,0.010229242890501346,0.07818376970075042,-0.2924581897074974,-0.05903322076397888,-30205.0,-80441.0,3553.0,6548.0,-0.0024813412350010514
2026-03-02,161169,191136,602014,560571,1.1859352605029503,0.9311594082529642,36000,1421,1630,0.011978962034550926,0.07812548785853167,-0.35354685344130066,-0.017232537957327154,75320.0,58973.0,1206.0,1299.0,0.0017497191440495798
2026-03-03,129647,144462,460944,424429,1.114271830431865,0.9207821340553299,36000,-5053,-5598,0.012490315960488094,0.10145234195155942,-0.07166343007108522,-0.010377274197634234,-31522.0,-46674.0,-6474.0,-7228.0,0.0005113539259371681
2026-03-04,224260,185249,856577,817796,0.8260456612860073,0.9547256113577647,32500,-26673,-21965,0.011772044792731225,0.09149737856799241,-0.28822616914585775,0.033943477302434744,94613.0,40787.0,-21620.0,-16367.0,-0.0007182711677568687
2026-03-05,108307,139691,330357,333604,1.2897688976705106,1.0098287610070318,30200,-8035,-10436,0.011513449227620643,0.09466205372623973,0.4637232363845033,0.0551031496492671,-115953.0,-45558.0,18638.0,11529.0,-0.00025859556511058195
2026-03-06,150654,202941,593426,606287,1.3470667888008283,1.021672457897025,32000,-10774,-14596,0.01151785068378827,0.08686774417059065,0.05729789113031769,0.011843696889993316,42347.0,63250.0,-2739.0,-4160.0,4.401456167627341e-06
2026-03-09,122339,123788,282460,219808,1.0118441380099559,0.7781916023507753,32000,-8258,-8368,0.011409170638563467,0.0912780800156017,-0.33522265079087243,-0.24348085554624976,-28315.0,-79153.0,2516.0,6228.0,-0.00010868004522480296
2026-03-10,139917,157726,309211,352046,1.1272826032576455,1.1385300005497865,35000,37,37,0.011518920574451138,0.09465366227326025,0.11543846524768964,0.36033839819901115,17578.0,33938.0,8295.0,8405.0,0.00010974993588767044
2026-03-11,144076,265533,618814,745862,1.8430064688081291,1.2053088650224462,34000,-1055,-2100,0.011402813133094934,0.08881152513738712,0.7157238655504836,0.06677886447265968,4159.0,107807.0,-1092.0,-2137.0,-0.00011610744135620403
2026-03-12,99261,143094,233091,244240,1.441593375041557,1.0478311045900528,32000,-3371,-4954,0.010549526941070496,0.07958160549606981,-0.4014130937665721,-0.15747776043239337,-44815.0,-122439.0,-2316.0,-2854.0,-0.000853286192024438
2026-03-13,143376,200843,523800,536612,1.4008132462894767,1.0244597174494081,33000,-1896,-2715,0.010918184108951696,0.08476870829326678,-0.04078012875208037,-0.023371387140644684,44115.0,57749.0,1475.0,2239.0,0.0003686571678811999
2026-03-16,109160,153013,257432,271035,1.4017314034444852,1.052841138630784,35500,-2447,-3517,0.010313468210011596,0.07810110118128107,0.0009181571550085366,0.028381421181375988,-34216.0,-47830.0,-551.0,-802.0,-0.0006047158989400999
2026-03-17,119926,177964,207023,245973,1.4839484348681686,1.1881433463914637,35500,2781,4222,0.010386100796094458,0.08091241733525797,0.08221703142368342,0.13530220776067958,10766.0,24951.0,5228.0,7739.0,7.263258608286235e-05
2026-03-18,162259,235303,493317,518860,1.4501691739749414,1.0517780656251456,34200,-8303,-12121,0.01106321562327394,0.07741685573570915,-0.03377926089322725,-0.13636528076631804,42333.0,57339.0,-11084.0,-16343.0,0.0006771148271794824
2026-03-19,82304,90186,270656,256035,1.0957669129082426,0.9459793982028848,35000,-9006,-9862,0.012825227296841886,0.08940228419038784,-0.3544022610666988,-0.10579866742226085,-79955.0,-145117.0,-703.0,2259.0,0.0017620116735679453
2026-03-20,125585,133740,537823,580199,1.064936099056416,1.0787917214399534,33500,-2170,-2302,0.013055766694914418,0.09124843343295093,-0.03083081385182651,0.1328123232370686,43281.0,43554.0,6836.0,7560.0,0.00023053939807253163
2026-03-23,77920,85779,172952,163669,1.1008598562628338,0.9463261482954808,32000,-4662,-5159,0.013488777846612085,0.10154002162505574,0.03592375720641772,-0.1324655731444726,-47665.0,-47961.0,-2492.0,-2857.0,0.0004330111516976671
2026-03-24,97391,108397,285612,305129,1.113008388865501,1.0683339635589542,32000,-3886,-4347,0.014243257633749437,0.1138501759091881,0.012148532602667128,0.12200781526347337,19471.0,22618.0,776.0,812.0,0.0007544797871373524
2026-03-25,132340,161604,460872,510249,1.22112739912347,1.1071382075717335,33600,-8159,-9995,0.014196474096197152,0.09757640911193968,0.108119010257969,0.038804244012779376,34949.0,53207.0,-4273.0,-5648.0,-4.6783537552285565e-05
2026-03-26,73093,93998,196742,214925,1.2860054998426662,1.092420530440882,26500,-1743,-2263,0.013043750913243272,0.09906577852786805,0.06487810071919631,-0.014717677130851481,-59247.0,-67606.0,6416.0,7732.0,-0.001152723182953879
2026-03-27,112556,145885,408433,400288,1.2961103806105405,0.9800579287178068,33000,-6304,-8223,0.013605400374384595,0.09363839328899053,0.010104880767874302,-0.11236260172307522,39463.0,51887.0,-4561.0,-5960.0,0.0005616494611413222
2026-03-30,76490,93540,167391,165705,1.2229049548960649,0.9899277738946538,26500,-4469,-5514,0.013566882823010752,0.11527377521613832,-0.07320542571447564,0.00986984517684697,-36066.0,-52345.0,1835.0,2709.0,-3.851755137384248e-05
2026-03-31,101029,107685,252193,232354,1.0658820734640548,0.9213340576463265,26500,-9836,-10529,0.01319208214043116,0.10141150090554539,-0.15702288143201004,-0.06859371624832733,24539.0,14145.0,-5367.0,-5015.0,-0.0003748006825795916
2026-04-01,119374,174499,389174,484596,1.4617839730594602,1.2451910970414262,33000,4449,6604,0.013564360479471457,0.09334644557342797,0.39590189959540534,0.3238570393950997,18345.0,66814.0,14285.0,17133.0,0.00037227833904029603
2026-04-02,72833,102522,155073,167272,1.4076311562066646,1.0786661765749035,26500,-1095,-1587,0.01454347921194931,0.12491232072082348,-0.054152816852795604,-0.16652492046652267,-46541.0,-71977.0,-5544.0,-8191.0,0.0009791187324778537
2026-04-07,103482,161660,249408,309208,1.5622040548114648,1.2397677700795484,33000,1110,1812,0.01274547705798244,0.09624276802618974,0.15457289860480028,0.16110159350464492,30649.0,59138.0,2205.0,3399.0,-0.0017980021539668704
